                                   | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                     |     654935 |          0 |          0 |          0
  Cycles                           |    1387501 |    1387501 |    1387501 |    1387501
  IPC                              |       0.47 |       0.00 |       0.00 |       0.00
  Time (ns)                        |     521617 |     521617 |     521617 |     521617
  Idle time (ns)                   |       -892 |     521617 |     521617 |     521617
  Idle time (%)                    |      -0.2% |     100.0% |     100.0% |     100.0%
Branch predictor stats             |            |            |            |           
  num correct                      |      99761 |          0 |          0 |          0
  num incorrect                    |      10027 |          0 |          0 |          0
  misprediction rate               |      9.13% |      0.00% |      0.00% |      0.00%
  mpki                             |      15.31 |       0.00 |       0.00 |       0.00
TLB Summary                        |            |            |            |           
Cache Summary                      |            |            |            |           
  Cache L1-I                       |            |            |            |           
    num cache accesses             |          0 |          0 |          0 |          0
    num cache misses               |          0 |          0 |          0 |          0
    miss rate                      |       inf% |       inf% |       inf% |       inf%
    mpki                           |       0.00 |        inf |        inf |        inf
  Cache L1-D                       |            |            |            |           
    num cache accesses             |     229360 |          0 |          0 |          0
    num cache misses               |       6025 |          0 |          0 |          0
    miss rate                      |      2.63% |       inf% |       inf% |       inf%
    mpki                           |       9.20 |        inf |        inf |        inf
  Cache L2                         |            |            |            |           
    num cache accesses             |       6025 |          0 |          0 |          0
    num cache misses               |       4276 |          0 |          0 |          0
    miss rate                      |     70.97% |       inf% |       inf% |       inf%
    mpki                           |       6.53 |        inf |        inf |        inf
  Cache L3                         |            |            |            |           
    num cache accesses             |       4276 |          0 |          0 |          0
    num cache misses               |       4255 |          0 |          0 |          0
    miss rate                      |     99.51% |       inf% |       inf% |       inf%
    mpki                           |       6.50 |        inf |        inf |        inf
DRAM summary                       |            |            |            |           
  num dram accesses                |       4255 |          0 |          0 |          0
  average dram access latency (ns) |      56.39 |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00
